R00,Dempster Open,255,255,255
R01,Light Bastard Amber,255,169,99
R02,Bastard Amber,255,161,84
R10,Medium Yellow,255,248,31
R312,Canary,255,195,31
R324,Gypsy Red,255,0,0
R39,Skelton Exotic Sangria,255,64,255
R64,Light Steel Blue,56,199,255
R371,Theatre Booster 1,214,186,255
R74,Night Blue,30,5,255
